idx,variant,dataset_name,question_id,question,gold_answer,pred_answer,raw_output,has_answer_tag
3283,standard,timeqa_split_easy_train,/wiki/John_A._Quitman#P39_easy_0,John A. Quitman took which position in Dec 1835?,Acting Governor of Mississippi,,Acting Governor of Mississippi,False
3284,standard,timeqa_split_easy_train,/wiki/Auru00e9lie_Kaci#P54_easy_2,Which team did Auru00e9lie Kaci play for from 2015 to 2016?,Olympique Lyonnais French national team,,Olympique Lyonnais,False
3285,standard,timeqa_split_easy_train,/wiki/Casey_Loyd#P54_easy_3,Casey Loyd played for which team from 2009 to 2010?,Chicago Red Stars,Chicago Red Stars,<answer> Chicago Red Stars </answer>,True
3286,standard,timeqa_split_easy_train,"/wiki/Jenny_Randerson,_Baroness_Randerson#P39_easy_5","Jenny Randerson, Baroness Randerson took which position from May 2007 to Mar 2011?","Liberal Democrat spokesperson on Education,Transport and the Economy","Liberal Democrat spokesperson on Education, Transport and the Economy","<answer> Liberal Democrat spokesperson on Education, Transport and the Economy </answer>",True
3287,standard,timeqa_split_easy_train,/wiki/Touby_Lyfoung#P27_easy_0,What citizenship did Touby Lyfoung hold from Jul 1953 to Nov 1975?,Laos,,Laos,False
3288,standard,timeqa_split_easy_train,/wiki/Marina_Auto_Stadium#P1448_easy_5,Marina Auto Stadium was officially named what from 2017 to 2018?,Capelli Sport Stadium,Capelli Sport Stadium,<answer> Capelli Sport Stadium </answer>,True
3289,standard,timeqa_split_easy_train,/wiki/John_Hayes_(rugby_union)#P54_easy_2,Which team did John Hayes (rugby union) play for in 2011?,Munster,Munster,<answer> Munster </answer>,True
3290,standard,timeqa_split_easy_train,/wiki/Patrick_Zwaanswijk#P54_easy_1,Patrick Zwaanswijk played for which team from 2004 to 2005?,Oita Trinita,Oita Trinita,<answer> Oita Trinita </answer>,True
3291,standard,timeqa_split_easy_train,/wiki/Yvonne_Drewry#P551_easy_2,Where did Yvonne Drewry live from 1980 to 2004?,Hollesley,Hollesley,<answer> Hollesley </answer>,True
3292,standard,timeqa_split_easy_train,"/wiki/Michael_Hicks_Beach,_1st_Earl_St_Aldwyn#P39_easy_5","Michael Hicks Beach, 1st Earl St Aldwyn took which position from Feb 1888 to Jun 1892?",President of the Board of Trade,President of the Board of Trade,<answer> President of the Board of Trade </answer>,True
3293,standard,timeqa_split_easy_train,"/wiki/Disney_Parks,_Experiences_and_Products#P1448_easy_0","What was the official name of Disney Parks, Experiences and Products from Jun 1980 to Aug 1989?",Walt Disney Outdoor Recreation Division,Walt Disney Outdoor Recreation Division,<answer> Walt Disney Outdoor Recreation Division </answer>,True
3294,standard,timeqa_split_easy_train,/wiki/William_Enyart#P241_easy_2,Which military brach did William Enyart belong to from 1982 to 2012?,Army National Guard,Army National Guard,<answer> Army National Guard </answer>,True
3295,standard,timeqa_split_easy_train,/wiki/Trey_Gowdy#P69_easy_0,Which school did Trey Gowdy go to from 1981 to 1982?,Spartanburg High School,,Spartanburg High School,False
3296,standard,timeqa_split_easy_train,/wiki/Gough_Map#P127_easy_1,Gough Map was owned by whom from 1774 to 1809?,Richard Gough,Richard Gough,<answer> Richard Gough </answer>,True
3297,standard,timeqa_split_easy_train,/wiki/VP-33#P1448_easy_6,What was the official name of VP-33 from Nov 1946 to Sep 1948?,Patrol Squadron 3,Patrol Squadron 3,<answer> Patrol Squadron 3 </answer>,True
3298,standard,timeqa_split_easy_train,/wiki/Reynaldo_Vera_Gonzu00e1lez-Quevedo#P2962_easy_1,Which title was conferred to Reynaldo Vera Gonzu00e1lez-Quevedo in 1979?,FIDE International Master,FIDE International Master,<answer> FIDE International Master </answer>,True
3299,standard,timeqa_split_easy_train,/wiki/Vologda#P1376_easy_2,Vologda was the capital of what from Dec 1796 to 1929?,Vologda Governorate,,Vologda Governorate,False
3300,standard,timeqa_split_easy_train,/wiki/Joseph-Isidore_Godelle#P39_easy_0,What was the position of Joseph-Isidore Godelle from Apr 1857 to Aug 1857?,Coadjutor Vicar Apostolic of Pondicherry,,Coadjutor Vicar Apostolic of Pondicherry,False
3301,standard,timeqa_split_easy_train,/wiki/Ruth_Bernhard#P937_easy_0,What was the working location for Ruth Bernhard from 1927 to 1936?,New York City,New York City,<answer>New York City</answer>,True
3302,standard,timeqa_split_easy_train,/wiki/Rosu00e9_(singer)#P551_easy_2,Where did Rosu00e9 (singer) live from 2012 to 2013?,Seoul,Seoul,<answer> Seoul </answer>,True
3303,standard,timeqa_split_easy_train,/wiki/Buck_Shaw#P108_easy_2,Which employer did Buck Shaw work for from 1925 to 1928?,Nevada,Nevada,<answer> Nevada </answer>,True
3304,standard,timeqa_split_easy_train,/wiki/Zoltu00e1n_Gera#P54_easy_6,Zoltu00e1n Gera played for which team from 2014 to 2015?,Unknown,Unknown,<answer> Unknown </answer>,True
3305,standard,timeqa_split_easy_train,/wiki/Francesco_Lodi#P54_easy_5,Which team did the player Francesco Lodi belong to from 2013 to 2014?,Genoa,Genoa,<answer> Genoa </answer>,True
3306,standard,timeqa_split_easy_train,/wiki/German_Council_on_Foreign_Relations#P488_easy_0,Who was the chair of German Council on Foreign Relations from 2000 to 2001?,Arend Oetker,,Arend Oetker,False
3307,standard,timeqa_split_easy_train,/wiki/Alan_Little_(footballer)#P54_easy_4,Which team did the player Alan Little (footballer) belong to from 1982 to 1983?,Torquay United,Torquay United,<answer> Torquay United </answer>,True
3308,standard,timeqa_split_easy_train,/wiki/Permanent_Secretary_to_the_Treasury#P1308_easy_4,Who was the office holder of Permanent Secretary to the Treasury from 1956 to 1959?,Sir Norman Brook Sir Roger Makins,Sir Norman Brook,<answer> Sir Norman Brook </answer>,True
3309,standard,timeqa_split_easy_train,/wiki/Stacey_Jones#P54_easy_2,Which team did the player Stacey Jones belong to from 2006 to 2007?,Catalans,Catalans,<answer> Catalans </answer>,True
3310,standard,timeqa_split_easy_train,/wiki/Shahid_Malik#P39_easy_1,Shahid Malik took which position from Jun 2007 to Oct 2008?,Under Secretary of State International Development Minister,Under Secretary of State,<answer> Under Secretary of State </answer>,True
3311,standard,timeqa_split_easy_train,/wiki/Norair_Aslanyan#P54_easy_2,Which team did Norair Aslanyan play for from 2012 to 2013?,FC Zwolle,FC Zwolle,<answer> FC Zwolle </answer>,True
3312,standard,timeqa_split_easy_train,/wiki/FC_Aarau#P118_easy_3,Who was the head coach of the team FC Aarau from Apr 2011 to May 2015?,Unknown,Peter Stalder,<answer> Peter Stalder </answer>,True
3313,standard,timeqa_split_easy_train,/wiki/Self-Portrait_with_Palette_(Manet)#P127_easy_5,Who owned Self-Portrait with Palette (Manet) from 1931 to 1958?,Jakob Goldschmidt Hermann Paechter,Jakob Goldschmidt Hermann Paechter,<answer> Jakob Goldschmidt Hermann Paechter </answer>,True
3314,standard,timeqa_split_easy_train,/wiki/Michel_Debru00e9#P39_easy_1,Michel Debru00e9 took which position from 1959 to Apr 1962?,Prime Minister,Prime Minister,<answer> Prime Minister </answer>,True
3315,standard,timeqa_split_easy_train,/wiki/Frances_Arnold#P463_easy_1,What organization did Frances Arnold join in 2000?,National Academy of Engineering,,National Academy of Engineering,False
3316,standard,timeqa_split_easy_train,"/wiki/Sir_William_Stirling-Maxwell,_9th_Baronet#P39_easy_1","Which position did Sir William Stirling-Maxwell, 9th Baronet hold from 1874 to 1878?",Member of Parliament for Perthshire,,Member of Parliament for Perthshire,False
3317,standard,timeqa_split_easy_train,"/wiki/Kevin_O'Connor_(footballer,_born_1985)#P54_easy_1","Which team did the player Kevin O'Connor (footballer, born 1985) belong to from 2005 to 2007?",Stockport County Wolverhampton Wanderers,Stockport County,<answer> Stockport County </answer>,True
3318,standard,timeqa_split_easy_train,/wiki/Justin_Hartley#P26_easy_0,Who was the spouse of Justin Hartley from 2004 to 2012?,Lindsay Korman,,Lindsay Korman,False
3319,standard,timeqa_split_easy_train,/wiki/Sandra_Ciesek#P108_easy_4,Which employer did Sandra Ciesek work for from 2019 to 2020?,University Hospital Frankfurt Goethe University Frankfurt,University Hospital Frankfurt Goethe University Frankfurt,<answer> University Hospital Frankfurt Goethe University Frankfurt </answer>,True
3320,standard,timeqa_split_easy_train,/wiki/Cape_Verdean_Football_Federation#P463_easy_0,What organization did Cape Verdean Football Federation join in 1986?,FIFA,,FIFA,False
3321,standard,timeqa_split_easy_train,/wiki/Dave_Camp#P69_easy_0,Which school did Dave Camp go to from 1972 to 1973?,Unknown,,"University of Sussex, Brighton, England",False
3322,standard,timeqa_split_easy_train,/wiki/Antonio_Donnarumma#P54_easy_4,Antonio Donnarumma played for which team from 2014 to 2015?,Bari,Bari,<answer> Bari </answer>,True
3323,standard,timeqa_split_easy_train,/wiki/Walter_Peregoy#P69_easy_4,Where was Walter Peregoy educated from 1936 to 1939?,"California College of Arts and Crafts in Berkeley,California Chouinard Art Institutes",Chouinard Art Institutes,<answer> Chouinard Art Institutes </answer>,True
3324,standard,timeqa_split_easy_train,/wiki/Julian_Dicks#P54_easy_2,Which team did Julian Dicks play for from 1993 to 1994?,Liverpool,Liverpool,<answer> Liverpool </answer>,True
3325,standard,timeqa_split_easy_train,/wiki/Fani_Stipkoviu0107#P69_easy_2,What was the residence of Fani Stipkoviu0107 from 2013 to 2018?,"Madrid,Spain",European University of Madrid,<answer> European University of Madrid </answer>,True
3326,standard,timeqa_split_easy_train,/wiki/Luke_Foley#P39_easy_2,What position did Luke Foley take from Mar 2015 to Nov 2018?,Labor seat of Auburn,Labor seat of Auburn,<answer> Labor seat of Auburn </answer>,True
3327,standard,timeqa_split_easy_train,/wiki/Rob_Flello#P39_easy_0,What was the position of Rob Flello from May 2005 to Apr 2010?,Labour Member of Parliament,,Labour Member of Parliament,False
3328,standard,timeqa_split_easy_train,/wiki/Landmark_(hotel_and_casino)#P127_easy_3,Landmark (hotel and casino) was owned by whom from 1993 to 1995?,Las Vegas Convention and Visitors Authority,Las Vegas Convention and Visitors Authority,<answer> Las Vegas Convention and Visitors Authority </answer>,True
3329,standard,timeqa_split_easy_train,/wiki/Charles_IV_of_France#P26_easy_2,Who was the spouse of Charles IV of France from Jul 1324 to Feb 1328?,Unknown,Unknown,<answer> Unknown </answer>,True
3330,standard,timeqa_split_easy_train,/wiki/Marek_Szmid#P54_easy_2,Marek Szmid played for which team from 2002 to 2003?,Sutton Coldfield Town,Sutton Coldfield Town,<answer> Sutton Coldfield Town </answer>,True
3331,standard,timeqa_split_easy_train,/wiki/Trygve_Lie#P39_easy_0,Which position did Trygve Lie hold from Mar 1935 to Jul 1939?,Minister of Justice,Minister of Justice,<answer> Minister of Justice </answer>,True
3332,standard,timeqa_split_easy_train,/wiki/Lilian_Welsh#P69_easy_0,Where was Lilian Welsh educated from 1874 to 1875?,State Normal School,,State Normal School,False
3333,standard,timeqa_split_easy_train,/wiki/Sacha_Guitry#P26_easy_1,Who was Sacha Guitry 's spouse from Apr 1919 to Nov 1934?,Yvonne Printemps,Yvonne Printemps,<answer> Yvonne Printemps </answer>,True
3334,standard,timeqa_split_easy_train,/wiki/Johnny_Brooks#P54_easy_2,Which team did Johnny Brooks play for from 1959 to 1961?,Unknown,Unknown,<answer> Unknown </answer>,True
3335,standard,timeqa_split_easy_train,/wiki/Panair_do_Brasil#P749_easy_3,What was the parent organization of Panair do Brasil from Oct 1929 to Nov 1930?,"NYRBA,Inc","NYRBA, Inc","<answer> NYRBA, Inc </answer>",True
3336,standard,timeqa_split_easy_train,"/wiki/Ian_Miller_(footballer,_born_1955)#P54_easy_2","Ian Miller (footballer, born 1955) played for which team from 1978 to 1981?",Swindon Town,Swindon Town,<answer> Swindon Town </answer>,True
3337,standard,timeqa_split_easy_train,/wiki/Jim_McInally#P54_easy_2,Jim McInally played for which team from 1986 to 1995?,Dundee United,Dundee United,<answer> Dundee United </answer>,True
3338,standard,timeqa_split_easy_train,/wiki/Marshall_Grant#P463_easy_0,Marshall Grant became a member of what organization or association in 1?,Statler Brothers,the Tennessee Two,<answer> the Tennessee Two </answer>,True
3339,standard,timeqa_split_easy_train,/wiki/Val_Ackerman#P69_easy_4,Who did Val Ackerman work for from 2013 to 2014?,Big East,WNBA,<answer> WNBA </answer>,True
3340,standard,timeqa_split_easy_train,/wiki/Bruce_Babbitt#P39_easy_0,Bruce Babbitt took which position from 1975 to Mar 1978?,Attorney General of Arizona,Attorney General of Arizona,<answer> Attorney General of Arizona </answer>,True
3341,standard,timeqa_split_easy_train,/wiki/Charles_Bruce_(governor)#P39_easy_4,What was Charles Bruce (governor) 's occupation from 1868 to 1878?,Rector of the Royal College,Colonial Secretary,<answer> Colonial Secretary </answer>,True
3342,standard,timeqa_split_easy_train,/wiki/Pablo_Granoche#P54_easy_3,Which team did the player Pablo Granoche belong to from 2007 to 2010?,Chievo,Chievo,<answer> Chievo </answer>,True
3343,standard,timeqa_split_easy_train,/wiki/SBB-CFF-FFS_RAm_TEE_I_and_NS_DE4#P121_easy_0,SBB-CFF-FFS RAm TEE I and NS DE4 was operated by what from Jun 1957 to May 1964?,Edelweiss LOiseau Bleu,SBB-CFF-FFS RAm TEE I and NS DE4 was operated by Edelweiss and LOiseau Bleu from Jun 1957 to May 1964.,<answer> SBB-CFF-FFS RAm TEE I and NS DE4 was operated by Edelweiss and LOiseau Bleu from Jun 1957 to May 1964. </answer>,True
3344,standard,timeqa_split_easy_train,/wiki/Amberg#P6_easy_3,Who was the head of Amberg from 1990 to Apr 2014?,Wolfgang Dandorfer,Wolfgang Dandorfer,<answer> Wolfgang Dandorfer </answer>,True
3345,standard,timeqa_split_easy_train,/wiki/Matt_Cartwright#P69_easy_0,Which school did Matt Cartwright go to from 1982 to 1983?,Hamilton College,Hamilton College,<answer> Hamilton College </answer>,True
3346,standard,timeqa_split_easy_train,/wiki/Jonah_Berger#P108_easy_1,Jonah Berger was an employee for whom from 2010 to 2013?,University of Pennsylvania,,University of Pennsylvania,False
3347,standard,timeqa_split_easy_train,/wiki/Maria_Goeppert_Mayer#P108_easy_0,Maria Goeppert Mayer was an employee for whom from 1930 to 1939?,Unknown,Unknown,<answer> Unknown </answer>,True
3348,standard,timeqa_split_easy_train,/wiki/Ed_Asafu-Adjaye#P54_easy_2,Which team did Ed Asafu-Adjaye play for from 2014 to 2015?,Hemel Hempstead Town,,Hemel Hempstead Town,False
3349,standard,timeqa_split_easy_train,/wiki/Timo_Hildebrand#P54_easy_5,Which team did Timo Hildebrand play for from 2010 to 2011?,Sporting CP,Sporting CP,<answer> Sporting CP </answer>,True
3350,standard,timeqa_split_easy_train,/wiki/Chris_Blackburn#P54_easy_0,Chris Blackburn played for which team from 1999 to 2003?,Chester City,Chester City,<answer> Chester City </answer>,True
3351,standard,timeqa_split_easy_train,/wiki/Shirley_Dysart#P39_easy_2,Shirley Dysart took which position from 1991 to 1995?,Speaker,Speaker,<answer> Speaker </answer>,True
3352,standard,timeqa_split_easy_train,/wiki/Danny_Pena#P54_easy_7,Danny Pena played for which team from 1997 to 2001?,Los Angeles Galaxy,Los Angeles Galaxy,<answer> Los Angeles Galaxy </answer>,True
3353,standard,timeqa_split_easy_train,/wiki/Cannondaleu2013Cyclocrossworld.com#P1448_easy_0,What was the official name of Cannondaleu2013Cyclocrossworld.com from 2005 to 2006?,Unknown,Unknown,<answer> Unknown </answer>,True
3354,standard,timeqa_split_easy_train,/wiki/Terje_Su00f8viknes#P39_easy_1,What was the position of Terje Su00f8viknes from 1999 to 2016?,Mayor of Os,Mayor of Os,<answer> Mayor of Os </answer>,True
3355,standard,timeqa_split_easy_train,/wiki/Aleksandar_Vulin#P102_easy_1,Which position did Aleksandar Vulin hold from Sep 2013 to Apr 2014?,Minister without portfolio in the Government of Serbia in charge of Kosovo and Metohija,Minister of Defence,answer Minister of Defence </answer>,True
3356,standard,timeqa_split_easy_train,/wiki/British_Rail_10800#P137_easy_0,What operated British Rail 10800 from 1950 to 1954?,British Railways,,British Railways,False
3357,standard,timeqa_split_easy_train,"/wiki/William_Stewart_(British_Army_officer,_born_1774)#P39_easy_2","What was the position of William Stewart (British Army officer, born 1774) from Jul 1803 to 1805?",the Wigtown Burghs Member of Parliament,,Member of Parliament,False
3358,standard,timeqa_split_easy_train,/wiki/Michael_Somare#P102_easy_1,Which political party did Michael Somare belong to from 1988 to 1994?,independent,independent,<answer> independent </answer>,True
3359,standard,timeqa_split_easy_train,/wiki/Chris_Coleman_(footballer)#P54_easy_2,Which team did the player Chris Coleman (footballer) belong to from 1991 to 1995?,Crystal Palace,Crystal Palace,<answer> Crystal Palace </answer>,True
3360,standard,timeqa_split_easy_train,/wiki/31st_Operations_Group#P1448_easy_1,31st Operations Group was officially named what from May 1942 to 1950?,31st Fighter Group,31st Fighter Group,<answer> 31st Fighter Group </answer>,True
3361,standard,timeqa_split_easy_train,/wiki/Ernest_Bennett_(politician)#P39_easy_1,Which position did Ernest Bennett (politician) hold from May 1929 to Oct 1935?,Member of Parliament,,Member of Parliament,False
3362,standard,timeqa_split_easy_train,/wiki/Yuri_Orlov#P108_easy_1,Which employer did Yuri Orlov work for from 1956 to 1972?,the Yerevan Physics Institute,the Yerevan Physics Institute,<answer> the Yerevan Physics Institute </answer>,True
3363,standard,timeqa_split_easy_train,/wiki/Odion_Ighalo#P54_easy_6,Which team did the player Odion Ighalo belong to in 2011?,Udinese,Udinese,<answer> Udinese </answer>,True
3364,standard,timeqa_split_easy_train,/wiki/University_of_Maryland_Humanu2013Computer_Interaction_Lab#P1037_easy_3,University of Maryland Humanu2013Computer Interaction Lab was managed or directed by whom from 2011 to 2014?,Jen Golbeck,Jen Golbeck,<answer> Jen Golbeck </answer>,True
3365,standard,timeqa_split_easy_train,/wiki/Antonis_Samaras#P39_easy_4,Which position did Antonis Samaras hold from 2009 to Oct 2009?,Minister of Culture and Sports,Minister of Culture and Sports,<answer> Minister of Culture and Sports </answer>,True
3366,standard,timeqa_split_easy_train,/wiki/Timo_Ochs#P54_easy_3,Which team did the player Timo Ochs belong to from 2006 to 2009?,Red Bull Salzburg,Red Bull Salzburg,<answer> Red Bull Salzburg </answer>,True
3367,standard,timeqa_split_easy_train,/wiki/Lars_Hu00f8gh#P54_easy_1,Which team did the player Lars Hu00f8gh belong to from 1979 to 1983?,Unknown,Unknown,<answer> Unknown </answer>,True
3368,standard,timeqa_split_easy_train,/wiki/Thomas_Secker#P39_easy_2,Thomas Secker took which position from 1750 to 1758?,Dean of St Pauls Cathedral,Dean of St Pauls Cathedral,<answer> Dean of St Pauls Cathedral </answer>,True
3369,standard,timeqa_split_easy_train,/wiki/Dudley_Moore#P26_easy_0,Who was the spouse of Dudley Moore from Jun 1968 to 1972?,Suzy Kendall,Suzy Kendall,<answer> Suzy Kendall </answer>,True
3370,standard,timeqa_split_easy_train,/wiki/Daniel_Webb_(footballer)#P54_easy_1,Which team did the player Daniel Webb (footballer) belong to from 2002 to 2004?,Hull City,,Hull City,False
3371,standard,timeqa_split_easy_train,/wiki/1st_Strategic_Aerospace_Division#P159_easy_0,1st Strategic Aerospace Division was officially named what from Aug 1943 to Dec 1944?,1st Bombardment Division,1st Strategic Bombardment Division,<answer> 1st Strategic Bombardment Division </answer>,True
3372,standard,timeqa_split_easy_train,/wiki/Harry_Bateman#P108_easy_4,Who did Harry Bateman work for from 1917 to 1946?,Caltech,Caltech,<answer> Caltech </answer>,True
3373,standard,timeqa_split_easy_train,/wiki/Halle_Berry#P26_easy_2,Who was Halle Berry 's spouse from Jul 2013 to 2016?,Olivier Martinez,Olivier Martinez,<answer> Olivier Martinez </answer>,True
3374,standard,timeqa_split_easy_train,/wiki/Yuba_Raj_Khatiwada#P108_easy_4,Who did Yuba Raj Khatiwada work for from 2009 to Mar 2010?,National Planning Commission,National Planning Commission,<answer> National Planning Commission </answer>,True
3375,standard,timeqa_split_easy_train,/wiki/USS_Abel_P._Upshur#P793_easy_0,What significant event was happening to USS Abel P. Upshur from Nov 1920 to Aug 1922?,commissioned at the Norfolk Navy Yard,commissioned at the Norfolk Navy Yard,<answer> commissioned at the Norfolk Navy Yard </answer>,True
3376,standard,timeqa_split_easy_train,/wiki/David_Leyonhjelm#P102_easy_1,Which party was David Leyonhjelm a member of from 1992 to 2005?,Shooters Party,Shooters Party,<answer> Shooters Party </answer>,True
3377,standard,timeqa_split_easy_train,/wiki/Paul_Hartley#P54_easy_0,Paul Hartley played for which team from 1994 to 1996?,Hamilton Academical,Hamilton Academical,<answer> Hamilton Academical </answer>,True
3378,standard,timeqa_split_easy_train,/wiki/David_Cay_Johnston#P108_easy_1,David Cay Johnston was an employee for whom from 1973 to 1976?,Detroit Free Press,Detroit Free Press,<answer> Detroit Free Press </answer>,True
3379,standard,timeqa_split_easy_train,/wiki/Mandana_Seyfeddinipur#P69_easy_0,Which school did Mandana Seyfeddinipur go to from 1999 to 2000?,Free University of Berlin,,Free University of Berlin,False
3380,standard,timeqa_split_easy_train,/wiki/Tsuyoshi_Yoshitake#P54_easy_1,Which team did Tsuyoshi Yoshitake play for from 2007 to 2008?,Tokyo Verdy,Tokyo Verdy,<answer> Tokyo Verdy </answer>,True
3381,standard,timeqa_split_easy_train,/wiki/Raffaele_Gragnaniello#P54_easy_0,Raffaele Gragnaniello played for which team from 2000 to 2001?,ASD Atletico Puteolana,ASD Atletico Puteolana,<answer> ASD Atletico Puteolana </answer>,True
3382,standard,timeqa_split_easy_train,/wiki/Timo_Soini#P39_easy_2,What position did Timo Soini take in May 2017?,Minister of Foreign Affairs,Minister of Foreign Affairs,<answer> Minister of Foreign Affairs </answer>,True
3383,standard,timeqa_split_easy_train,/wiki/Arthur_Jepson#P54_easy_1,Which team did the player Arthur Jepson belong to from 1946 to 1948?,Stoke City,Stoke City,<answer> Stoke City </answer>,True
3384,standard,timeqa_split_easy_train,/wiki/Bob_Kahn#P69_easy_0,Bob Kahn went to which school from 1959 to 1960?,the City College of New York,City College of New York,<answer> City College of New York </answer>,True
3385,standard,timeqa_split_easy_train,/wiki/Second_VA-155_(U.S._Navy)#P1448_easy_3,Second VA-155 (U.S. Navy) was officially named what from Apr 1950 to Feb 1953?,VA-728,VA-728,<answer> VA-728 </answer>,True
3386,standard,timeqa_split_easy_train,/wiki/Sosnowiec#P17_easy_2,Which country did Sosnowiec belong to from May 1945 to May 1946?,Poland,Poland,<answer> Poland </answer>,True
3387,standard,timeqa_split_easy_train,/wiki/Jordan_Lukaku#P54_easy_2,Which team did Jordan Lukaku play for from 2013 to 2016?,Oostende,Oostende,<answer> Oostende </answer>,True
3388,standard,timeqa_split_easy_train,/wiki/Gordon_College_(Massachusetts)#P1448_easy_0,Gordon College (Massachusetts) was officially named what from 1889 to 1916?,Boston Missionary Training Institute,,Boston Missionary Training Institute,False
3389,standard,timeqa_split_easy_train,/wiki/Josep_Rull#P2632_easy_4,What was the place of detention for Josep Rull from Jun 2019 to Jun 2020?,Unknown,Unknown,<answer> Unknown </answer>,True
3390,standard,timeqa_split_easy_train,/wiki/Stru00f8msgodset_Toppfotball#P286_easy_2,Who was the head coach of the team Stru00f8msgodset Toppfotball from Jul 2018 to Jul 2019?,Unknown,Unknown,<answer> Unknown </answer>,True
3391,standard,timeqa_split_easy_train,/wiki/Democratic_Party_(Mongolia)#P488_easy_3,Who was the head of Democratic Party (Mongolia) from 2014 to 2015?,Zandaakhuugiin Enkhbold,Zandaakhuugiin Enkhbold,<answer> Zandaakhuugiin Enkhbold </answer>,True
3392,standard,timeqa_split_easy_train,/wiki/Endre_Bajcsy-Zsilinszky#P102_easy_3,Which political party did Endre Bajcsy-Zsilinszky belong to from 1938 to 1944?,Unknown,Unknown,<answer> Unknown</answer>,True
3393,standard,timeqa_split_easy_train,/wiki/Robert_B._Mantell#P26_easy_3,Who was the spouse of Robert B. Mantell from 1912 to Jun 1928?,Genevieve Hamper,Genevieve Hamper,<answer> Genevieve Hamper </answer>,True
3394,standard,timeqa_split_easy_train,/wiki/Razorfish_(company)#P749_easy_0,Which organization owned Razorfish (company) from 2004 to 2007?,aQuantive,,<aquantive>,False
3395,standard,timeqa_split_easy_train,/wiki/Forges_(cartoonist)#P108_easy_0,Which employer did Forges (cartoonist) work for from 1963 to 1964?,Study Coordinator,,Pueblo,False
3396,standard,timeqa_split_easy_train,/wiki/Khoren_Oganesian#P54_easy_5,Which team did Khoren Oganesian play for from 1995 to 1996?,Pyunik,Pyunik,<answer> Pyunik </answer>,True
3397,standard,timeqa_split_easy_train,/wiki/John_W._Bricker#P39_easy_0,Which position did John W. Bricker hold from 1920 to 1923?,solicitor,,<solicitor>,False
3398,standard,timeqa_split_easy_train,/wiki/Leopold_Kronecker#P463_easy_0,What organization did Leopold Kronecker join in 1884?,Royal Society,Royal Society,<answer> Royal Society </answer>,True
3399,standard,timeqa_split_easy_train,/wiki/Susanna_Ceccardi#P39_easy_1,Which position did Susanna Ceccardi hold from 2016 to Jul 2019?,mayor,mayor,<answer> mayor </answer>,True
3400,standard,timeqa_split_easy_train,/wiki/Bryn_Morris#P54_easy_3,Which team did Bryn Morris play for from 2019 to 2020?,Portsmouth,Portsmouth,<answer> Portsmouth </answer>,True
3401,standard,timeqa_split_easy_train,/wiki/Marcus_Bignot#P54_easy_7,Which team did the player Marcus Bignot belong to from 2009 to 2010?,Millwall,Millwall,<answer> Millwall </answer>,True
3402,standard,timeqa_split_easy_train,/wiki/Eivind_Reiten#P39_easy_1,What position did Eivind Reiten take from Oct 1985 to May 1986?,Minister of Fisheries,Minister of Fisheries,<answer> Minister of Fisheries </answer>,True
3403,standard,timeqa_split_easy_train,/wiki/Karen_Uhlenbeck#P108_easy_1,Where was Karen Uhlenbeck educated from 1964 to 1965?,Unknown,University of Michigan,<answer> University of Michigan </answer>,True
3404,standard,timeqa_split_easy_train,/wiki/Rhoda_Erdmann#P106_easy_3,What was the occupation of Rhoda Erdmann from 1920 to 1923?,faculty status in the Zoology department,faculty status in the Zoology department,<answer> faculty status in the Zoology department </answer>,True
3405,standard,timeqa_split_easy_train,/wiki/416th_Flight_Test_Squadron#P121_easy_5,416th Flight Test Squadron was operated by what from 1947 to 1949?,Unknown,Unknown,<answer> Unknown </answer>,True
3406,standard,timeqa_split_easy_train,/wiki/Biagio_Pagano#P54_easy_7,Which team did the player Biagio Pagano belong to from 2012 to 2013?,Modena F.C,Modena F.C,<answer> Modena F.C </answer>,True
3407,standard,timeqa_split_easy_train,"/wiki/Paulinho_(footballer,_born_November_1992)#P54_easy_0","Which team did Paulinho (footballer, born November 1992) play for from 2010 to 2012?",Santa Maria,Santa Maria,<answer> Santa Maria </answer>,True
3408,standard,timeqa_split_easy_train,/wiki/Nikolai_Kuznetsov_(admiral)#P410_easy_0,What was the military rank of Nikolai Kuznetsov (admiral) from May 1944 to Feb 1948?,Admiral of the Fleet,Admiral of the Fleet,<answer> Admiral of the Fleet </answer>,True
3409,standard,timeqa_split_easy_train,/wiki/Nicolas_Roeg#P26_easy_1,Who was the spouse of Nicolas Roeg from 1986 to 2005?,Unknown,Unknown,<answer> Unknown </answer>,True
3410,standard,timeqa_split_easy_train,/wiki/Howard_Coble#P241_easy_3,Which military brach did Howard Coble belong to from 1960 to 1977?,Unknown,Unknown,<answer> Unknown </answer>,True
3411,standard,timeqa_split_easy_train,/wiki/Westfield_Kotara#P1448_easy_2,Westfield Kotara was officially named what from 2007 to 2008?,Westfield Kotara,Westfield Kotara,<answer> Westfield Kotara </answer>,True
3412,standard,timeqa_split_easy_train,/wiki/Elon_Musk#P108_easy_3,Which employer did Elon Musk work for from Dec 2015 to Dec 2016?,OpenAI,,OpenAI,False
3413,standard,timeqa_split_easy_train,/wiki/Mariposa_Folk_Festival#P276_easy_2,Mariposa Folk Festival took place in which location from 1968 to 1979?,"Centre Island,Toronto","Centre Island, Toronto","<answer> Centre Island, Toronto </answer>",True
